month_name,month,mean,std_dev,p1,p5,p10,p15,p25,p50,p75,p85,p90,p95,p99,min,max,count
July,7,2426.691,158.596,1977.586,2108.749,2253.383,2302.019,2336.878,2442.796,2555.053,2571.387,2595.337,2622.865,2639.079,1887.779,2642.435,55
August,8,2413.036,133.204,2089.600,2143.967,2194.600,2269.140,2337.111,2458.465,2505.800,2525.199,2550.615,2567.678,2605.406,2052.086,2628.537,55
September,9,2138.362,176.376,1677.384,1873.310,1947.045,1971.331,2025.546,2145.318,2271.593,2305.128,2320.739,2375.504,2484.794,1505.124,2490.724,55
October,10,1992.834,224.355,1362.341,1530.667,1773.913,1799.313,1889.251,2010.477,2139.124,2219.952,2242.519,2270.604,2400.418,1278.460,2478.909,55
November,11,1624.571,215.330,1216.237,1294.627,1353.168,1419.003,1488.489,1582.234,1795.383,1839.994,1894.034,1984.908,2087.597,1150.664,2144.410,55
December,12,1497.906,307.824,533.795,1011.780,1185.082,1335.919,1401.528,1516.175,1699.657,1771.883,1799.284,1849.474,1998.141,0.000,2078.548,56
January,1,1656.273,210.228,1221.045,1307.728,1366.495,1410.484,1528.418,1672.690,1808.933,1859.783,1928.635,1998.270,2040.472,1205.506,2048.119,55
February,2,1696.667,244.693,1102.961,1304.974,1388.268,1425.859,1552.481,1700.724,1892.469,1921.486,1981.405,2003.638,2225.639,1004.315,2248.109,55
March,3,2078.777,236.816,1675.405,1715.079,1800.288,1822.415,1902.197,2068.093,2260.519,2345.247,2384.761,2473.328,2576.134,1670.633,2614.271,55
April,4,2153.327,229.766,1784.273,1862.418,1881.550,1902.217,1945.689,2144.998,2323.366,2406.526,2459.145,2540.243,2620.334,1759.008,2623.474,55
May,5,2193.187,188.655,1805.283,1890.497,1945.256,1963.769,2035.357,2217.275,2353.966,2380.639,2409.148,2447.990,2528.827,1780.745,2602.130,55
June,6,2258.371,144.602,1930.900,2012.153,2041.453,2075.140,2171.339,2298.574,2374.070,2395.190,2404.097,2443.218,2481.107,1918.691,2488.436,55
