month_name,month,mean,std_dev,p1,p5,p10,p15,p25,p50,p75,p85,p90,p95,p99,min,max,count
July,7,5718.846,241.476,5146.243,5294.795,5331.649,5433.850,5630.525,5763.609,5866.537,5914.252,5977.513,6045.102,6142.398,5106.621,6151.217,46
August,8,5356.979,221.331,4859.138,4929.840,5114.634,5133.774,5228.667,5384.544,5513.991,5577.007,5603.976,5647.584,5758.610,4848.330,5834.750,46
September,9,4770.853,210.152,4180.841,4417.827,4504.213,4608.191,4661.787,4790.694,4912.831,4994.506,5029.517,5044.617,5064.949,4038.972,5074.447,46
October,10,4176.129,249.190,3478.457,3663.598,3839.353,3947.725,4097.348,4253.558,4354.375,4366.172,4414.683,4451.484,4496.744,3465.888,4524.601,46
November,11,3247.941,155.118,2858.701,2943.866,3051.157,3123.809,3155.165,3268.087,3353.214,3394.643,3418.161,3458.200,3505.190,2800.053,3523.776,46
December,12,2770.998,456.959,1131.178,2467.017,2522.366,2554.981,2693.198,2846.066,2974.491,3029.595,3085.851,3107.133,3116.837,0.000,3120.081,47
January,1,3079.502,209.027,2660.345,2701.853,2737.081,2834.358,2971.687,3099.196,3230.942,3288.555,3347.911,3375.236,3395.047,2656.717,3395.747,46
February,2,3578.199,221.592,3061.742,3179.351,3302.523,3365.791,3472.031,3588.889,3709.931,3764.032,3852.947,3942.858,4033.467,3012.827,4065.485,46
March,3,5062.470,247.807,4405.663,4646.239,4721.832,4830.525,4936.178,5111.119,5241.332,5273.114,5312.628,5423.252,5481.037,4284.597,5489.792,46
April,4,5767.270,181.887,5392.519,5459.726,5513.526,5557.037,5650.130,5794.774,5916.616,5950.546,5975.571,6047.564,6068.953,5366.822,6078.938,46
May,5,6339.002,178.095,5958.165,6019.097,6066.728,6173.248,6225.347,6351.023,6472.738,6517.691,6552.955,6583.215,6641.899,5924.143,6658.292,46
June,6,6093.848,212.435,5569.200,5643.155,5815.144,5925.660,5970.032,6138.753,6229.725,6290.046,6325.558,6350.795,6444.191,5565.514,6489.363,46
